iter	Passed	Remaining
414	3178	4480
415	3186	4473
416	3194	4466
417	3202	4459
418	3210	4452
419	3219	4446
420	3227	4439
421	3235	4432
422	3243	4424
423	3251	4417
424	3259	4410
425	3267	4403
426	3276	4396
427	3284	4389
428	3291	4381
429	3300	4374
430	3308	4367
431	3315	4359
432	3323	4351
433	3330	4343
434	3337	4335
435	3344	4326
436	3352	4319
437	3360	4311
438	3367	4303
439	3375	4295
440	3382	4287
441	3389	4279
442	3397	4272
443	3404	4263
444	3412	4255
445	3419	4248
446	3427	4240
447	3434	4232
448	3442	4224
449	3449	4216
450	3457	4208
451	3464	4200
452	3471	4192
453	3479	4184
454	3486	4176
455	3494	4168
456	3503	4162
457	3513	4157
458	3520	4149
459	3528	4141
460	3535	4133
461	3543	4125
462	3550	4117
463	3557	4109
464	3565	4101
465	3573	4094
466	3580	4086
467	3587	4078
468	3595	4070
469	3602	4062
470	3609	4054
471	3617	4046
472	3624	4038
473	3632	4030
474	3639	4022
475	3647	4015
476	3654	4006
477	3661	3998
478	3668	3990
479	3676	3983
480	3683	3974
481	3691	3967
482	3698	3959
483	3706	3951
484	3713	3943
485	3721	3935
486	3728	3927
487	3735	3919
488	3743	3911
489	3750	3903
490	3758	3895
491	3765	3887
492	3772	3879
493	3779	3871
494	3786	3863
495	3794	3855
496	3802	3848
497	3809	3840
498	3817	3832
499	3824	3824
500	3831	3816
501	3839	3808
502	3846	3800
503	3854	3793
504	3861	3785
505	3869	3777
506	3876	3769
507	3884	3761
508	3891	3754
509	3899	3746
510	3905	3737
511	3912	3729
512	3918	3719
513	3925	3711
514	3932	3703
515	3940	3695
516	3947	3687
517	3954	3679
518	3962	3672
519	3970	3664
520	3977	3656
521	3984	3648
522	3991	3640
523	3998	3632
524	4006	3625
525	4014	3617
526	4021	3609
527	4029	3601
528	4037	3594
529	4044	3586
530	4051	3578
531	4059	3571
532	4066	3563
533	4074	3555
534	4081	3547
535	4089	3540
536	4096	3532
537	4104	3524
538	4112	3517
539	4119	3509
540	4127	3501
541	4134	3493
542	4141	3485
543	4149	3477
544	4156	3469
545	4163	3461
546	4170	3454
547	4178	3446
548	4185	3438
549	4192	3430
550	4201	3423
551	4208	3415
552	4215	3407
553	4222	3399
554	4229	3391
555	4236	3383
556	4244	3375
557	4252	3368
558	4260	3360
559	4269	3354
560	4277	3347
561	4286	3340
562	4293	3332
563	4304	3327
564	4312	3319
565	4320	3312
566	4328	3305
567	4336	3298
568	4344	3291
569	4352	3283
570	4359	3275
571	4367	3267
572	4374	3260
573	4382	3252
574	4389	3244
575	4397	3236
576	4404	3229
577	4411	3221
578	4419	3213
579	4427	3205
580	4434	3198
581	4442	3190
582	4450	3182
583	4457	3175
584	4464	3167
585	4472	3159
586	4479	3151
587	4486	3143
588	4493	3135
589	4501	3127
590	4507	3119
591	4514	3111
592	4521	3103
593	4528	3095
594	4535	3087
595	4542	3079
596	4550	3071
597	4557	3063
598	4564	3055
599	4572	3048
600	4580	3040
601	4588	3033
602	4595	3025
603	4602	3017
604	4610	3009
605	4617	3002
606	4624	2994
607	4632	2986
608	4639	2978
609	4647	2971
610	4654	2963
611	4661	2955
612	4669	2947
613	4676	2939
614	4684	2932
615	4692	2925
616	4699	2917
617	4707	2909
618	4714	2901
619	4721	2894
620	4728	2886
621	4736	2878
622	4743	2870
623	4750	2862
624	4757	2854
625	4765	2846
626	4772	2839
627	4779	2831
628	4788	2824
629	4796	2817
630	4805	2810
631	4815	2803
632	4824	2797
633	4833	2790
634	4842	2783
635	4850	2775
636	4857	2768
637	4865	2760
638	4872	2752
639	4879	2744
640	4887	2737
641	4894	2729
642	4901	2721
643	4909	2713
644	4916	2705
645	4923	2698
646	4931	2690
647	4938	2682
648	4945	2674
649	4953	2667
650	4960	2659
651	4968	2651
652	4975	2643
653	4983	2636
654	4990	2628
655	4998	2620
656	5005	2613
657	5012	2605
658	5020	2597
659	5028	2590
660	5036	2582
661	5044	2575
662	5051	2567
663	5058	2559
664	5064	2551
665	5071	2543
666	5077	2534
667	5083	2526
668	5090	2518
669	5097	2510
670	5104	2502
671	5111	2495
672	5119	2487
673	5127	2479
674	5134	2472
675	5141	2464
676	5149	2456
677	5156	2448
678	5163	2441
679	5171	2433
680	5178	2425
681	5185	2417
682	5192	2409
683	5199	2402
684	5206	2394
685	5214	2386
686	5221	2379
687	5233	2373
688	5241	2365
689	5250	2358
690	5258	2351
691	5266	2344
692	5274	2336
693	5283	2329
694	5291	2322
695	5299	2314
696	5307	2307
697	5315	2299
698	5323	2292
699	5331	2284
700	5338	2276
701	5345	2269
702	5352	2261
703	5360	2253
704	5367	2246
705	5375	2238
706	5382	2230
707	5390	2223
708	5397	2215
709	5404	2207
710	5412	2199
711	5419	2192
712	5426	2184
713	5433	2176
714	5441	2168
715	5448	2161
716	5455	2153
717	5463	2145
718	5470	2138
719	5478	2130
720	5485	2122
721	5493	2115
722	5500	2107
723	5507	2099
724	5514	2091
725	5521	2084
726	5529	2076
727	5537	2068
728	5545	2061
729	5552	2053
730	5559	2045
731	5567	2038
732	5574	2030
733	5582	2022
734	5589	2015
735	5596	2007
736	5603	1999
737	5612	1992
738	5620	1984
739	5627	1977
740	5635	1969
741	5642	1961
742	5649	1954
743	5656	1946
